isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780553802023,055380202X,The Universe in a Nutshell,,Stephen W. Hawking;STEPHEN W AUTOR HAWKING,Science,http://books.google.com/books/content?id=VXIc358dF4gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author explores recent scientific breakthroughs in the fields of supergravity, supersymmetry, quantum theory, superstring theory, and p-branes as he searches for the Theory of Everything that lies at the heart of the cosmos.",2001.0,4.15,216.0,27792.0
9780618709861,061870986X,In the Lake of the Woods,,Tim O'Brien,Fiction,http://books.google.com/books/content?id=sEQmQYilkpEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Pursued by rumors of the atrocities he committed in Vietnam, a politician and his wife seek refuge in a lakeside cabin in northern Minnesota, where a mystery unfolds when the wife mysterious vanishes into the nearby wilderness. Reprint.",2006.0,3.78,303.0,14031.0
9780618711666,061871166X,The Hungry Tide,,Amitav Ghosh,Fiction,http://books.google.com/books/content?id=LN16i5rklB4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Presents a novel of life in modern India, chronicling the interwoven journey of an American marine biologist and a Delhi businessman who travel to the remote Sundarban islands.",2006.0,3.94,333.0,11220.0
9780670037773,067003777X,Special Topics in Calamity Physics,,Marisha Pessl,Fiction,http://books.google.com/books/content?id=6wAkEofYH_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Having moved from one academic outpost to another throughout her childhood at the side of her aphorism-prone father, Blue van Meer attends the elite St. Gallway School in her senior year, where she falls in with a charismatic group of friends before the deaths of a teacher and student awaken her analytical instincts. A first novel. 50,000 first printing.",2006.0,3.71,514.0,31644.0
9780679763970,067976397X,Corelli's Mandolin,A Novel,Louis De Bernières,Fiction,http://books.google.com/books/content?id=dsJFZOR11yMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation",1995.0,3.97,437.0,61387.0
9780679781486,067978148X,The Rules of Attraction,,Bret Easton Ellis,Fiction,http://books.google.com/books/content?id=UoiIA-jWSo0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"With irony and compassion, the author of Less Than Zero chronicles the sexual affairs--heterosexual, homosexual, and orgiastic--of a group of students at a self-consciously bohemian New England college. Reprint. 15,000 first printing.",1998.0,3.7,283.0,32277.0
9780743247542,074324754X,The Glass Castle,A Memoir,Jeannette Walls,Biography & Autobiography,http://books.google.com/books/content?id=V8kznwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In the tradition of Mary Karr's ""The Liars' Club"" and Rick Bragg's ""All Over But the Shouting,"" Walls has written a stunning and life-affirming memoir about surviving a willfully impoverished, eccentric, and severely misguided family.",2006.0,4.26,288.0,752358.0
9780767903820,076790382X,I'm a Stranger Here Myself,Notes on Returning to America After Twenty Years Away,Bill Bryson,Biography & Autobiography,http://books.google.com/books/content?id=xb4wSmJLnhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author describes his return to America after two decades of living abroad and his disconcerting reunion with his homeland as he discusses motels, tax-return instructions, and hardware stores.",1999.0,3.9,304.0,47490.0
9780767908184,076790818X,A Short History of Nearly Everything,,Bill Bryson,Science,http://books.google.com/books/content?id=YjAnfhsAQ8wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing.",2004.0,4.2,544.0,228522.0
9780802138255,080213825X,Four Blondes,,Candace Bushnell,Fiction,http://books.google.com/books/content?id=9GbH3006EvQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Four very different women endure romantic intrigues, betrayals, liaisons, and victories as they seek love amid the playgrounds of the rich and powerful.",2001.0,2.82,256.0,23143.0
9781400030651,140003065X,A Fine Balance,A Novel,Rohinton Mistry,Fiction,http://books.google.com/books/content?id=Ct6E1SONSGEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In India during the mid-1970s, after a ""state of internal emergency"" is declared, four very different people--a widowed seamstress, a student, and a man and his nephew who have fled their village's caste violence--find their lives becoming inextricably intertwined",1997.0,4.36,603.0,108208.0
9781400031368,1400031362,Morality for Beautiful Girls,,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=JTV3COlWawMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Precious Ramotswe investigates two very different cases--the alleged poisoning of the brother of an important government official, and the moral character of the finalists of the Miss Beauty and Integrity Contest.",2002.0,3.98,227.0,32047.0
9781400032532,1400032539,His Excellency,George Washington,Joseph J. Ellis,Biography & Autobiography,http://books.google.com/books/content?id=2Y9Rko9sT3kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Draws on the Washington papers from archives at the University of Virginia to chronicle George Washington's military career and presidential years, discussing his struggle to keep an emerging America united and other accomplishments.",2005.0,3.92,320.0,31485.0
9781400032716,1400032717,The curious incident of the dog in the night-time,a novel,Mark Haddon,Fiction,,"Despite his overwhelming fear of interacting with people, Christopher, a mathematically-gifted, autistic fifteen-year-old boy, decides to investigate the murder of a neighbor's dog and uncovers secret information about his mother.",2003.0,3.87,226.0,991627.0
9781400032921,140003292X,The Complete Short Novels,,Anton Pavlovich Chekhov,Fiction,http://books.google.com/books/content?id=8PYXDDec5vQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new translation of the nineteenth-century Russian master's short classics includes The Steppe, The Duel, The Story of an Unknown Man, Three Years, and My Life. Reprint. 12,500 first printing.",2005.0,4.47,548.0,10275.0
9781400033416,1400033411,Beloved,A Novel,Toni Morrison,Fiction,http://books.google.com/books/content?id=Ann5ugJilcMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Sethe, an escaped slave living in post-Civil War Ohio with her daughter and mother-in-law, is haunted persistently by the ghost of the dead baby girl whom she sacrificed, in a new edition of the Nobel Laureate's Pulitzer Prize-winning novel. Reader's Guide available. Reprint. 60,000 first printing.",2004.0,3.81,324.0,263625.0
9781400033546,1400033543,You Shall Know Our Velocity!,,Dave Eggers,Fiction,http://books.google.com/books/content?id=ucF8nY4gdAUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After acquiring $32,000, Will and Hand, devastated over the death of their closest friend, travel around the world giving away the money, in a rowdy debut novel from the author of A Heartbreaking Work of Staggering Genius. Reprint. 125,000 first printing.",2003.0,3.63,401.0,25360.0
9781400034680,140003468X,Love in the Time of Cholera,,Gabriel García Márquez,Fiction,http://books.google.com/books/content?id=Z6uePwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Set on the Caribbean coast of South America, this love story brings together Fermina Daza and Florentino Ariza, a man who has secretly loved her for more than fifty years, on the day of her husband's funeral. Reprint. 50,000 first printing.",2003.0,3.9,348.0,310177.0
9781400034772,1400034779,The No. 1 Ladies' Detective Agency,,Alexander McCall Smith,Fiction,http://books.google.com/books/content?id=BVPY5Q4hXF8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Working in Gaborone, Botswana, Precious Ramotswe investigates several local mysteries, including a search for a missing boy and the case of the clinic doctor with different personalities for different days of the week.",2002.0,3.77,235.0,200338.0
9781400043460,1400043468,My Life in France,,Julia Child;Alex Prud'homme,Biography & Autobiography,http://books.google.com/books/content?id=KmuMDQAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A memoir begun just months before Child's death describes the legendary food expert's years in Paris, Marseille, and Provence and her journey from a young woman from Pasadena who cannot cook or speak any French to the publication of her legendary Mastering cookbooks and her winning the hearts of America as ""The French Chef."" 150,000 first printing.",2006.0,4.17,302.0,67593.0
9781400052585,1400052580,Everyday Italian,125 Simple and Delicious Recipes,Giada De Laurentiis,Cooking,http://books.google.com/books/content?id=OVscTbz-Bq4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents techniques of Italian home cookery, including more than one hundred recipes and advice on creating dishes for everyday meals and special occasions.",2005.0,3.95,256.0,38550.0
9781400076192,1400076196,Saturday,A Novel,Ian McEwan,Fiction,http://books.google.com/books/content?id=D70DmQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A successful, happily married neurosurgeon, Henry Perowne is drawn into a confrontation with Baxter, a small-time thug, following a minor motor vehicle accident on the way to his regular squash game, an encounter that has savage consequences when Baxter, believing that the doctor has humiliated him, visits the Perowne home that evening during a family reunion. Reader's Guide available. Reprint. 300,000 first printing.",2006.0,3.63,289.0,50926.0
